Source,Title,Article
http://cnn.com,Travel News - CNN,Outlook for Disney World and Disneyland reopenings: What will it be like? And when will parks be running?
http://cnn.com,"80 million Chinese may already be out of work. 9 million more will soon be competing for jobs, too","The 26-year old tech worker spent the last year jumping from one startup to another in what already felt like a precarious job market . But when he was laid off again in January, this time from a Beijing-based internet company, he never expected things to become as difficult as they are

Last year ""already felt like living in a hell mode,"" Wang told CNN Business in a telephone interview. ""But 2020 is even worse. The coronavirus is like a head-on blow.""

Wang is not his full name. He asked CNN Business to not use his entire name because he didn't want friends or family to know the details of his unemployment — a fear echoed by others in China who spoke about losing their jobs. Some also voiced concerns that making their personal predicament public could hurt their chances of finding work.

The pandemic all but shut down China for several weeks this year, wreaking havoc on the world's second largest economy and forcing millions of people out of work.

The full scale of how many people have lost their jobs in the country is hard to capture. Data from Beijing is notoriously opaque, and the official unemployment rate — which only tracks jobless numbers in urban areas — has barely moved beyond 4% to just over 5% for years.

But even the official tally has started to register a spike. Unemployment in March was 5.9%, just shy of the record 6.2% reported a month earlier. That would represent more than 27 million people out of work, according to a CNN Business calculation using government data.

""China's unemployment could be seriously understated,"" said Willy Lam, an adjunct professor for the Center of China Studies at the Chinese University of Hong Kong . ""It's unusual they are willing to report that bad data. Given the government often massages the figures, the real situation must be worse.""

An 'unprecedented' problem

Beijing's data, after all, does not include people in rural communities or a large number of the 290 million migrant workers who work in construction, manufacturing and other low paying but vital activities. If those migrants are included, as many as 80 million people could have been out of work at the end of March, according to an article co-authored last month by Zhang Bin, an economist at the Chinese Academy of Social Sciences, a think tank run by the government.

Other experts say that the 80 million figure is likely much closer to reality. It's also a lot more disturbing — it would mean that nearly 10% of people in China who are supposed to be employed are actually out of work, according to economists at Société Générale.

""The Covid-19 shock to the job market is unprecedented in its scale, length and nature,"" wrote Wei Yao and Michelle Lam in a research report last week.

The Ministry of Commerce did not respond to a request from CNN Business for comment on this story. Speaking last month, a spokesman for China's National Bureau of Statistics acknowledged that the labor market was under a lot of pressure, but he insisted overall employment was ""stable.""

""Although the coronavirus has had a severe impact [on jobs], there are no massive layoffs in the country,"" Mao Shengyong said at a press conference.

But Beijing is bracing for additional pain in the coming months. A record number of people are graduating from universities this year, which will put more pressure on the job market. And while the economy may still eke out some growth in 2020, its road to a full recovery will likely be a long one.

The Chinese government has never been candid about its economic woes. But recent messaging from officials has made it clear that unemployment is a big problem.

Economic growth was already the weakest in decades before the outbreak pushed the country into its first contraction since 1976, when Communist Party leader Mao Zedong's death ended a decade of social and economic tumult.

Shoring up the economy — and preventing the jobless rate from spiraling out of control — has only gotten more critical in recent months. In April, the Communist Party's Politburo, its top ruling body, told all government officials to prioritize job security and social stability above anything else, according to the state news agency Xinhua.

Getting people back to work is important in part because authorities fear a wave of unemployment could lead to social unrest, creating a massive political headache, according to Lam, the Chinese University of Hong Kong professor.

""Beijing's biggest concern is not GDP growth, but employment,"" he said.

'I feel miserable'

Job seekers aren't optimistic that the situation will improve soon. Wang, the tech worker from Beijing, said it seems life is tough for everyone right now.

""I feel miserable, but I can't do anything about it,"" he said. ""I don't think anyone can.""

Wang said the current environment contrasts starkly to when he graduated from college in 2015. Beijing at that time was offering subsidies and other forms of financial support to startups, which encouraged entrepreneurs to create millions of new companies. The unemployment rate that year was about 5%.

Even before the coronavirus outbreak, Wang said offers were drying up. The tech startups he worked at in 2018 and 2019 ran out of cash as Beijing tightened regulations on how they could obtain investment.

But now he says finding work is almost impossible. He and his friends have started lowering their expectations, and some of them aren't even sure whether they can stay in Beijing.

""There were already signs last year [of mass unemployment], but this year it's getting worse, "" Wang said. ""I don't know when things will turn better ... I'll just wait.""

There is evidence that it's gotten tougher to find work. Job vacancies plunged 28% in the first three months of 2020 compared to the fourth quarter of last year, according to a recent survey by the China Institute for Employment Research and Zhaopin.com, one of China's largest job sites. Competition, meanwhile, was fiercer: The number of job seekers jumped nearly 9% in the first quarter, the survey showed.

And companies in China's services sector — which accounts for almost half of all jobs in the country — shed workers at a record rate in April, according to survey data released Thursday by media group Caixin and research firm Markit.

""I feel that the job market is shrinking at a rapid pace,"" said Yi Feng, 32, who lost his job in March at a logistics firm in Shanghai. Yi requested that CNN Business use an alias for him, which he chose, adding that he feared talking openly about his troubles would amount to burning bridges with potential employers. ""It's extremely difficult to find a job now, because most companies have frozen their hiring since the end of March.""

An influx of job seekers

The landscape might get even more difficult in the coming weeks. Beijing expects about 8.7 million people will graduate from colleges and universities this year, creating even more competition for work.

""Leading up to my graduation, I had my mind set on becoming a journalist. But this year it is really too hard,"" said Andrea Yao, a 22-year-old senior at the Communication University of China in Beijing. She said she was supposed to interview with a newspaper in Wuxi last month, but couldn't go because she couldn't obtain the ""health code"" required to enter the city.

Yao told CNN Business that she reached out to 61 companies about jobs, but only five asked for her resume. Many companies wanted candidates who already had experience.

Recently, ""when I was taking the subway to [an internship], I suddenly felt a burst of anxiety through my heart when I thought of the fact that I haven't settled on a job,"" she said.

Others said the coronavirus has disrupted their plans. Li Cuiyu, who is graduating from the Beijing-based China Agriculture University with a master's degree, said she wanted to become a civil servant so she could obtain a highly coveted ""hukou,"" or household registration permit, in the Chinese capital. But the annual exam required for that work was postponed because of the outbreak.

While Li is weighing other options — she had been looking for jobs at foreign companies in Beijing, for example — that hasn't been easy, either.

""There are simply not many recruitment ads out there, and some foreign companies are already laying off staff,"" she said.

A job applicant makes a call at an on-site job fair in Wuhan last month. The landscape for job hunters might get even more difficult in the coming weeks as about 8.7 million people graduate from colleges and universities.

Aid from the top

Beijing is aware of the looming wave of new job seekers. The government this week unveiled a plan to help new graduates find jobs as teachers and create other ""grassroots level"" positions, according to Xinhua . The project also includes a proposal to expand enrollment in postgraduate programs.

But authorities still have a tough task ahead of them as they try to help others who have lost their jobs.

""A particular concern is that the safety net doesn't catch the most vulnerable,"" wrote Mark Williams, chief Asia economist for Capital Economics, in a recent research note.

All employers in China are legally required to provide unemployment insurance. But less than half of the urban labor force was covered by that program at the end of last year, according to data from the Ministry of Human Resources and Social Security. And experts, including the economists at Société Générale, have noted that the program is ill-equipped to deal with the massive surge in jobless figures.

The government seems to have recognized these issues, Williams added, since it recently pledged to help those without jobs access insurance.

But other experts have pointed out that there are other challenges facing Beijing as it tries to push its citizens back to work.

China is already struggling with mounting debt , which makes it tough to spend more on infrastructure projects that could create more jobs, according to Joseph Cheng, a democracy activist and a retired professor of political science at the City University of Hong Kong. Chinese state media has suggested recently that regional governments could invest $1.1 trillion in roads, airports and other projects, but those funds haven't actually been set aside yet and it's not clear whether such targets could be reached.

Several experts have said that policymakers in China should put more effort toward ensuring that people can meet their basic, daily needs. The Société Générale economists, for example, said a ""more direct but audacious measure"" would be to give cash directly to low income households, so as to circumvent the need for an unemployment insurance program.

Even Zhang, the state think tank economist, floated a similar proposal. He said the government's response to the economic fallout from the virus — which totals tens of billions of dollars in financial relief and stimulus — should include cash handouts for the poor."
http://cnn.com,Priyanka Chopra's bold fashion has made her a global style icon,"Written by Marianna Cerini, CNN

Priyanka Chopra is an actress, producer, philanthropist, singer and former Miss World. And, as has become evident in recent seasons, she is also a style icon.

Chopra's aesthetic has evolved over the past few years, transforming her from girl next door to fashion queen, both on and off the red carpet.

-- in equal measure -- wearing international brands and championing Indian designers and classic Indian dress. Chopra even caused a spike in online searches for the terms ""golden saree"" and ""red lehenga"" when she wore them to her She's done so by-- in equal measure -- wearing international brands and championing Indian designers and classic Indian dress. Chopra even caused a spike in online searches for the terms ""golden saree"" and ""red lehenga"" when she wore them to her wedding to pop singer Nick Jonas in December 2018.





















1 / 11 Priyanka Chopra attends the Met Gala on May 1, 2017 in New York City. Credit: Neilson Barnard/Getty Images

Red carpet queen

Chopra's style is bold, polished and glamorous. Nowhere is that more evident than on the red carpet.

has since become a Hollywood regular after starring as an FBI agent in Chopra has been earning acting accolades since making her Bollywood debut in 2003. Shehas since become a Hollywood regular after starring as an FBI agent in ABC's ""Quantico"" from 2015 to 2018.

In the US, Chopra started gravitating towards more relaxed fits and international designers, embracing retro jumpsuits and edgier leather looks. But it wasn't until 2016, that her fashion credentials crystallized.

That year saw the star wearing one flawless outfit after the other -- a glam embellished white strapless gown by Lebanese designer Zuhair Murad at her maiden Oscars ceremony; a cerulean Atelier Versace stunner at the Billboard Music Awards; and a sharp white suit by ST.studio by Olcay Gulsen at the Time 100 Gala.

Priyanka Chopra attends 2016 Time 100 Gala. Credit: Dimitrios Kambouris/Getty Images

Chopra has also repeatedly shown she's unafraid of taking risks.

For her Met Gala debut in 2017, Chopra wore custom-made Ralph Lauren trench coat with a dramatic collar and sweeping train. She followed it up in 2018 with an intricate beaded headdress.

Then, last year , she matched a feathery silver-and-pastel gown by Dior, with frizzled hair, silver-frosted brows and raspberry eyeshadow.

Priyanka Chopra attends The 2019 Met Gala ""Celebrating Camp: Notes on Fashion"". Credit: Dimitrios Kambouris/Getty Images

At the Golden Globes in 2017, she wore a body-hugging gold dress by Ralph Lauren. ""It's my first time at the Golden Globes, so I wanted to be the golden globe,"" she told Vogue's US edition . For her first Cannes Film Festival last year, she wore a dreamy white tulle Georges Hobeika tiered gown, which was actually a wedding dress.

""She is like an artist; you can see she has fun with it and doesn't like to get lost in a crowd,"" Chopra's US stylist, Cristian Ehrlich, told Vogue India of her style. ""She likes to use her voice and fashion to express her different moods.""

Chopra and Nick Jonas attend the screening of ""Les Plus Belles Annees D'Une Vie"" at the Cannes Film Festival on May 18, 2019. Credit: Andreas Rentz/Getty Images

Off-duty cool

Impressing on the red carpet is one thing, but repeatedly turning heads with your fashion is another altogether. And the 37-year-old has done so while experimenting with trends, making them a louder, bolder, bigger versions of themselves.

Last year's monochrome look? She nailed it, and then elevated it to new heights with a series of head-to-toe one-tone ensembles in shades of bright pink, turquoise and mint.

The floral prints that were all over the spring-summer 2018 and 2019 collections, from Marni to Loewe? They turned up riotously in Chopra's wardrobe. As did the '70s aesthetic seen at Gucci, Anna Sui and Alberta Ferretti.

Chopra has also combined clashing items, like a velvet bomber jacket and wool tweed palazzo pants, and stepped out in stunning dresses complete with fringing and a thigh-high splits.

Celebrating Indian fashion

While she's made her love for couture and international brands clear, Chopra has also embraced designers from her native India.

Since the start of her career, the actress has proudly shown off her roots by supporting and showcasing Indian designers, from more established names like Sabyasachi, Anita Dongre and Manish Malhotra -- all fashion powerhouses in India -- to up-and-coming talents, like Masaba Gupta.

Priyanka Chopra attends the 18th Marrakech International Film Festival on December 05, 2019 in Marrakech, Morocco. Credit: Dominique Charriau/Getty Images

In February, she walked the finale of India's Blenders Pride Fashion Tour, an annual event that scouts new talents in association with the Fashion Design Council of India, to show her support for local creatives.

But her Indian ancestry shone the brightest at her lavish five-day nuptials to Jonas, when she sported one elaborate traditional Indian dress after the other. They included a silver beaded lehenga from label Falguni Shane Peacock that took 12,000 hours of work, and a red one by designer Sabyasachi, stitched by 110 embroiderers.

Chopra's enthusiasm for diverse looks that span cultures makes her a style icon worth watching -- at home and on the red carpet."
http://cnn.com,Three Marines restrained an unruly passenger on a flight from Japan,"(CNN) Three US Marines stepped in to detain a passenger who allegedly made threatening comments during a flight from Japan to Texas.

according to an Capt. Daniel Kult, Sgt. John Dietrick, and Pfc. Alexander Meinhardt were headed to Texas from Tokyo on Monday when a passenger on their flight barricaded himself inside a bathroom and began screaming,according to an online statement from the Marine Corps.

Dietrick said that even through the headphones he was wearing he could hear someone inside the bathroom who sounded ""distraught.""

That's when the three Marines gathered outside the restroom while a flight attendant unlocked the door, according to the release. Once it was open, the Marines restrained the passenger with flex ties.

""I knew I had to step in when he became a danger to others and himself,"" Meinhardt said. ""I didn't think twice about helping restrain him through the rest of the flight.""

Read More"
http://cnn.com,A 'travel bubble' between New Zealand and Australia could be a model for the future,"Wellington, New Zealand (CNN) — It may be some time before tourists are traveling the globe again. But what if you could travel through designated, approved parts of it?

and New Zealand are discussing the possibility of opening up borders to each other, creating a travel corridor -- or ""travel bubble"" -- between the two nations. Politicians from Australia and New Zealand are discussing the possibility of opening up borders to each other, creating a travel corridor -- or ""travel bubble"" -- between the two nations.

""If there is any country in the world with whom we can reconnect with first, undoubtedly that's New Zealand,"" Australian Prime Minister Scott Morrison said last month.

Related content 12 of New Zealand's most beautiful places

""That is a situation we would all like to be in, but of course, our number one focus at the moment is making sure that both our countries are in the position where we're domestically managing Covid-19 to a point where we can with confidence open borders,"" New Zealand Prime Minister Jacinda Ardern said on April 27.

""One thing I'm not willing to do is jeopardize the position that New Zealand has got itself into by moving too soon to open our borders -- even to Australia.""

It's not clear when this ""bubble"" could become a reality -- currently both countries still have domestic travel restrictions in place, and all international arrivals are subject to a 14-day quarantine.

Travel industry experts say August is when the corridor is likely to be rolled out, possibly in time for the ski season in New Zealand and the school holidays in September.

A special relationship

There are a few reasons why New Zealand and Australia would be each other's first pick.

Although the two countries are separated by about 2,000 km (1,243 miles) of sea, they have one of the closest bilateral relationships in the world. Australian passport holders can travel and work in New Zealand indefinitely without a visa, and vice versa.

The two countries also contribute heavily to each other's tourism industry.

Australians make up almost 40% of international arrivals to New Zealand, and around 24% of New Zealand's international visitor spend. That's especially significant in New Zealand, where tourism is the country's biggest export industry . (Tourism is considered an export industry because it involves foreign cash being used to buy New Zealand's goods and services.)

Over in Australia, New Zealanders make up around 15% of the country's international visitors, and only about 6% of the international visitor spend. Tourism is still worth billions to Australia, although it is only the country's fourth biggest export industry

In both countries, tourism industries have taken a massive hit from the coronavirus outbreak -- so it's no surprise that industry representatives are welcoming the prospect of a travel bubble.

""The message from the industry side is that the bubble is a goer,"" said Simon Westaway, the executive director of the Australian Tourism Industry Council, adding that it was the only way of getting international tourism into Australia in the near future.

Related content Couple tie the knot 37,000 feet in the air between Australia and New Zealand

""If we can add in the Australians, that would be enormously beneficial for the survival of tourism businesses and thousands of jobs,"" said Chris Roberts, the chief executive of Tourism Industry Aotearoa, which represents the tourism industry in New Zealand. He added that the amount tourists spend in New Zealand had dropped by at least 2 billion New Zealand dollars ($1.22 billion) a month.

But Roberts isn't expecting the levels of Australian tourists that New Zealand had pre-Covid -- he thinks many would opt to just travel domestically.

In Australia, some tour operators had been focusing their attention on China, which makes up about 15% of travelers to Australia but 27% of total tourist spend. Westaway said those businesses would need to adapt and work out how to appeal to more Kiwi travelers.

Related content The most beautiful places in Australia

How would it work?

would need to undergo a One thing to keep in mind: Australia is made up of states and territories, and some of those currently have additional quarantine rules in place. For instance, a person traveling from Sydney (in New South Wales) to Brisbane (in Queensland)would need to undergo a 14-day self-quarantine period

Airports may also need to roll out new procedures.

Roberts envisions a future where tourists may turn up to the airport, be tested for Covid-19 and only be allowed on the plane once they've got a negative result. Once they are at their destination, they may have their temperature checked. Travelers may need to supply more information than usual so they can be easily traced, if necessary.

Related content Norfolk Island: Why residents want to ditch Australia for New Zealand

Both Roberts and Westaway believe the bubble would only work if the current 14-day quarantine period for anyone entering the country is removed.

Once the trans-Tasman bubble is tried and tested, New Zealand could look to include other territories in its bubble -- perhaps Taiwan and Hong Kong, Roberts said.

""I think it will be on a country by country basis,"" he said. ""A general opening of borders could be a very long time away.""

Could the bubble get bigger?

For the first time, drones have been allowed to fly inside Kakadu National Park in Australia. The resulting video is stunning.

There's also some discussion about broadening the bubble to include the Pacific Islands.

From a health perspective, the Pacific Island nations appear to have escaped the coronavirus outbreak largely unscathed. Fiji -- the worst affected Pacific Island nation -- has reported only 18 coronavirus cases and no deaths. Guam -- which is a US territory and not a nation -- has reported more than 140 coronavirus cases and five deaths

Many Pacific Island nations closed borders early to protect against potential spread.

But the pandemic has hurt tourism to the Pacific Islands, one of the most aid-dependent regions in the world

Ardern has urged caution on including the Pacific, saying: ""Our Pacific neighbors in large part have not been afflicted by Covid-19, and the last thing we would want is to risk that.""

But broadening Australia and New Zealand's travel bubble to at least some Pacific Islands would help boost the islands' tourism industry, said Stephen Howes, the director of the Development Policy Center at Australian National University in Canberra.

""For a lot of people, it's very tough,"" he said of the effect on tourism in the Pacific. ""Some have gone back to their village ... people are just struggling to get by.""

""Obviously no country would be forced to do this,"" he said, adding that the travel corridor could always be stopped if it didn't work. ""It would be a complex undertaking ... but it's certainly worth trying.""

Related content The world's most powerful passports in the age of coronavirus

And including the Pacific would also help Australia and New Zealand, allowing migrant workers to enter both countries. The inclusion could also have a huge soft power impact in the region, which is of strategic importance to New Zealand, Australia and China.

""This is a real test,"" Howes said. ""If Australia and New Zealand go ahead and just have a trans-Tasman partnership, they could really antagonize the Pacific. It would be like, 'well you don't really care.'""

Roberts agreed that the bubble would benefit the Pacific, saying that without tourism, their economies are in significant trouble.

""In terms of economic aid to our Pacific neighbors, that would be the best thing we could do for them -- as long as we could do it safely.""

Is this the future of travel?

A potential Australia and New Zealand travel bubble may end up being a model for the rest of the world, Roberts and Westaway say.

Like other countries around the world, New Zealand and Australia will need to be careful not to move too fast and create a second Covid-19 wave.

Moving too fast could also jeopardize their image with international tourists, who view the countries as clean, trustworthy places.

But generally, Roberts and Westaway are hopeful.

""If (the detail) can be worked out between New Zealand and Australia, then they can be applied to other places as well,"" Roberts said."
http://cnn.com,Get ready for a campaign season full of China-Covid conspiracy theories,"Stephen Roach, a faculty member at Yale University and former chairman of Morgan Stanley Asia, is the author of the 2014 book ""Unbalanced: The Codependency of America and China."" The views expressed in this commentary are his own. Read more opinion at CNN.

(CNN) Attacking China has now become the centerpiece for the upcoming 2020 election campaign by an increasingly desperate Republican Party and its vulnerable leadership.

A leaked 57-page "" Corona Big Book "" -- reportedly disseminated by the GOP's Senate-campaign arm, produced by a consulting firm, and obtained by Politico -- urges GOP candidates to bash China between now and November. It rests on three premises: that the novel coronavirus came from a lab in Wuhan, that the Chinese government covered up the outbreak and that the Trump administration would have acted forcefully had it only known the real ""truth.""

The first claim is dubious; the next, ambiguous; and the third one, not credible.

First, notwithstanding the insistence of President Trump and his loyalists, investigative reporting by award-winning journalists, as well as intelligence assessments by the governments of Australia, the UK and Canada , have found no evidence that the virus spilled from a lab.

This is the latest in a long string of unsubstantiated conspiracy theories that the President has embraced over the years. From the Obama birther accusations and claims of a Ukrainian server as a repository for Hillary Clinton's emails to America's ""deep state"" and the hoax of global warning, Trump talk is double-talk for a president who traffics in misinformation.

Fact-checkers at The Washington Post now count at least 18,000 false or misleading claims by President Trump in his first 1,170 days in office (running through April 14, 2020).

Second, China certainly did mishandle the outbreak of Covid-19. How much responsibility lies with the Wuhan municipal government , or the central government in Beijing, is clouded in ambiguity. But one thing is clear: The chain of command failed. In the fateful month of December 2019, early signs of a deadly novel coronavirus became evident in Wuhan.

Dr. Li Wenliang, a whistleblower who was initially scorned but now revered, might have made a real difference had his warnings been heeded. He spoke out publicly on December 30, 2019 , ironically the same day virus samples were taken from patients in Wuhan. Sadly, Dr. Li passed away in early February.

Meanwhile, the virus was raging in Hubei Province and, it now seems plausible , spreading silently around the world in asymptomatic, pre-symptomatic, or only mildly symptomatic people. Only a full and open accountability by China can sort this out.

Third, what did President Trump know, and when did he know it? US Sen. Howard Baker made that line famous in the Watergate hearings of 1973 in questioning the motives and role of President Richard Nixon in a cover-up that eventually forced him to resign in disgrace.

Investigative reporting has also indicated that considerable early warning evidence was available to US intelligence agencies on the coronavirus outbreak during December 2019 and January-February 2020. While President Trump is not exactly known to be a voracious consumer of intelligence reports contained in the President's Daily Brief, surely you would think that the professionals in the White House would take this information far more seriously.

Unfortunately, it seems that may not have been the case. (One key White House misstep came long before the virus would surface: In 2018, in a brilliant stroke of organizational genius predictably aimed at negating yet another of his predecessor's policies, the President disbanded the Global Health Security and Biodefense unit housed within the National Security Council that was set up following the Ebola epidemic of 2014.)

But the real questions pertain less to management blunders and more to the false narrative of Donald Trump as a magnanimous and decisive leader who, had he known of what was going on in China, would have behaved differently.

For a president who has taken no responsibility for an unending stream of misstatements about the virus -- from insisting in February at the onset of an exponential surge in infections and death that ""one day, it's like a miracle, it will disappear""; to advocating the use of untested ( hydroxychloroquine ) and dangerous (injection of disinfectants ) remedies; to misstating repeatedly that US coronavirus testing is the best in the world; to turning daily pandemic briefings into political combat -- this counter-factual is hardly credible.

In the end, the GOP's so-called ""Corona Big Book"" throws down the gauntlet in its campaign marching orders: ""... don't defend Trump ... attack China."" With the President's defense of his performance weak and getting weaker, the first point is obvious. And the weaker his position becomes, the more intense the attack.

That strategy resonates with polling which shows American public opinion is now more negative on China than ever before -- hardly surprising as a trade war has morphed into a pandemic war.

And, in what resembles a repeat of the impeachment saga, when Trump adviser Rudy Giuliani investigated unfounded allegations about the Bidens in Ukraine, The New York Times reports administration officials have pressed spy agencies to find the smoking gun in Wuhan that supports the theory that the virus emanated from a lab.

Both China and the US have clearly lacked transparency and accountability in their responses to Covid-19. But to turn the tragedy of this pandemic into the crass politics of a blame game is unconscionable. Another Cold War is bad enough . The combination of xenophobia and soaring unemployment is reminiscent of much more painful times in history. Look no farther than the 1930s.

Forty-six years ago, a Republican senator had the moral fortitude to ask of a Republican president: What did he know and when did he know it? Elections are ultimately about leadership and the character of those who purport to lead. November 3 is now less than six months away."
http://cnn.com,The US should be a leader in the global fight against Covid 19 (opinion),"Tom Daschle (D-South Dakota) served in the Senate from 1987 to 2005 and as Senate majority leader from 2001 to 2003. Dr. Bill Frist (R-Tennessee), a physician and host of the health care podcast A Second Opinion , served in the Senate from 1995 to 2007 and as Senate majority leader from 2003 to 2007. Both are members of the National Advisory Council of the US Global Leadership Coalition. The views expressed in this commentary are their own. View more opinion at CNN.

(CNN) Americans are staring down an unprecedented crisis. We've already lost more than 71,000 of our fellow citizens. Millions of families live in fear and uncertainty every second. And large swaths of our workforce are losing their jobs each week.

Together, we face a common, invisible enemy: the novel coronavirus, Covid-19.

As two former US Senate majority leaders , we didn't always see eye to eye during our time together in Congress, but today, we certainly agree on at least two things: America must lead the rest of the world to defeat Covid-19. And if we take our eye off the ball, China will try to exploit this crisis to its own gain.

Once again, Covid-19 has taught us that what happens around the world matters and impacts us here at home. As the number of cases climbs every time we refresh our screens, we're learning in real time that viral threats know no borders. After starting thousands of miles away in China late last year , Covid-19 has spread to virtually every continent

When 70% of the globe remains underprepared to respond to a public health emergency, it will require urgent action to both defeat Covid-19 -- and stop the next pandemic before it reaches our shores.

Congress, alongside the administration, has taken unprecedented steps to protect our citizens and our economy. This includes the multiple emergency funding bills passed in recent days . While there is certainly more we must do within our borders, it's also time we step up our fight on the global front.

As some of our nation's top retired military leaders recently stated , ""No matter how successful we are in fighting the threat of the Covid-19 pandemic at home, we will never stop it unless we are also fighting it around the world.""

The truth is that we have no choice but to help lead the world in confronting this threat wherever it emerges. No matter how long it takes us to defeat this virus in the US, it will most certainly arrive back at our doorstep -- surely leading to more deaths, lockdowns, and significant disruptions to our economy -- if we do not act globally.

After downplaying the threat to the world and failing to contain the initial Covid-19 outbreak within its own borders , Chinese officials have become increasingly generous with aid to Africa, South America, and Europe. Their global campaign -- along with that of Chinese entrepreneur Jack Ma -- has ranged from deploying doctors, masks, and ventilators to Italy and France to donating supplies to every African nation.

To be sure, there have been a number of reports scrutinizing the effectiveness and motives of these efforts -- and we must recognize China's inaction and misinformation in reporting the gravity of Covid-19. But we should also take note of how Italy's EU ambassador, Maurizio Massari, lamented that not a single EU nation responded to Italy's request for medical equipment. ""Only China responded bilaterally,"" he stated

Beijing clearly understands the paramount importance of helping other nations defeat Covid-19 as it tries to rebrand its own image. Yet if we allow China to flex unchecked on the global stage, it will strive to push their influence wherever it can.

As one of the world's indispensable nations, the US must play a critical role in securing the world from current and future health threats. Fortunately, America's investments in global health through the State Department and the US Agency for International Development (USAID) to fight diseases like HIV/AIDS, malaria, and tuberculosis have laid the groundwork for what the US must now lead: a comprehensive global response

If we are going to be effective in stopping Covid-19 around the world, we must leverage new emergency resources alongside our global partners for critical investments in global health, infection prevention and control, testing and lab capacities, and health worker training.

Greater global engagement by our diplomats, USAID, and the new US International Development Finance Corporation will also be essential to fast-tracking America's economic recovery -- especially since more than 50% of US exports went to the developing world before Covid-19 struck. To safeguard American jobs, we'll also need to confront the dire humanitarian and economic consequences in emerging and developing markets.

Get our free weekly newsletter Sign up for CNN Opinion's new newsletter. Join us on Twitter and Facebook

As supply chains and global economic activity are reset by this crisis -- and Beijing plays to its state-led authoritarian strengths -- the investments we make today to fight this pandemic around the world will certainly pay dividends tomorrow in American lives saved and livelihoods protected.

Many are comparing the magnitude of this crisis to World War II or 9/11. We couldn't agree more because the stakes have rarely been higher for America and the world.

This is our moment to stop this threat, protect our homeland, and ensure a world shaped by American leadership for the next generation."
http://cnn.com,"A man was sentenced to death via Zoom in Nigeria, sparking criticism from rights groups","Lagos (CNN) A man in Nigeria was sentenced to death via the popular video conferencing app Zoom this week, sparking condemnation from rights groups who described the ruling as inhumane.

At a virtual court hearing on Monday, Olalekan Hameed was found guilty of murdering his mother's employer in 2018 and was sentenced to death by hanging.

A judge at a court in Lagos delivered the ruling to Hameed, who appeared remotely from prison via Zoom, along with his lawyer and prosecutors who also joined the hearing remotely, justice ministry spokesman Kayode Oyekanmi told CNN.

Hameed, who denied the charge, remains in prison, Oyekanmi said. CNN was trying to reach the suspect and his lawyer for comment.

The court held the session via Zoom to comply with the state's social distancing guidelines to curb coronavirus

Read More"
http://cnn.com,'A little bit of a breather': Lagos Governor promises smarter interventions as lockdown eases,"(CNN) Lockdown restrictions will be eased in Lagos, the state's governor Babajide Sanwo-Olu confirmed in a public address Wednesday.

Strict measures to contain the coronavirus have been in place since late March, but a ""controlled easing phase"" will begin on May 4 that will allow offices, business, markets, and stores to resume operation with limited hours and staff capacity.

Schools and religious buildings will remain closed for now, with new standards of sanitation to be imposed on public transport such as compulsory masks and hand-washing facilities.

In an interview with CNN ahead of the address, Governor Sanwo-Olu described the measures as a ""little bit of a breather"" for Lagosians but warned that this was not a return to normal and that the threat of the virus would remain for the foreseeable future.

Increasing capacity

Read More"
http://cnn.com,A young boy was killed by a police stray bullet during a coronavirus curfew. Now his parents want answers,"Nairobi, Kenya (CNN) Perched on his apartment balcony in Nairobi, 13-year-old Yassin Hussein Moyo curiously watched police patrol the streets with his mother and siblings. A coronavirus-related curfew had just started when a stray bullet struck him in the stomach.

Yassin Hussein Moyo's relatives and friends during his burial at the Kariokor Muslim Cemetery in Nairobi, Kenya on March 31, 2020.

His father, Hussein Moyo Molte, was at a nearby friend's place watching the news and recounts hearing gunshots moments before his daughter called to tell him, ""Yassin's been shot, we were on the balcony, the police had a torch on us and then they fired shots.""

Moyo rushed home to find the neighborhood engulfed in tear gas.

Yassin Hussein Moyo

Neighbors drove Yassin to a Nairobi hospital where he later died from his injuries, according to his father, who believes his neighborhood police officers are to blame for the incident, which happened on March 30.

""My child was shot on the balcony at home, he wasn't even on the street,"" said Moyo. ""I support the curfew but how the policeman handled it was very wrong.""

Read More"
