function;description;score;score_norm
acl;clausal modifier of noun (adjectival clause);25;0.510638298
acomp;adjectival complement;13;0.255319149
advcl;adverbial clause modifier;30;0.617021277
advmod;adverbial modifier;29;0.595744681
agent;agent;6;0.106382979
amod;adjectival modifier;24;0.489361702
appos;appositional modifier;23;0.468085106
attr;attribute;14;0.276595745
aux;auxiliary;33;0.680851064
auxpass;auxiliary (passive);32;0.659574468
case;case marking;22;0.446808511
cc;coordinating conjunction;3;0.042553191
ccomp;clausal complement;38;0.787234043
compound;compound;45;0.936170213
conj;conjunct;4;0.063829787
cop;copula;28;0.574468085
csubj;clausal subject;46;0.957446809
csubjpass;clausal subject (passive);43;0.893617021
dative;dative;7;0.127659574
dep;unclassified dependent;1;0
det;determiner;21;0.425531915
dobj;direct object;42;0.872340426
expl;expletive;27;0.553191489
intj;interjection;16;0.319148936
mark;marker;26;0.531914894
meta;meta modifier;8;0.14893617
neg;negation modifier;9;0.170212766
nn;noun compound modifier;36;0.744680851
nmod;modifier of nominal;35;0.723404255
npadvmod;noun phrase as adverbial modifier;34;0.70212766
nsubj;nominal subject;48;1
nsubjpass;nominal subject (passive);47;0.978723404
nummod;numeric modifier;10;0.191489362
oprd;object predicate;39;0.808510638
obj;object;41;0.85106383
obl;oblique nominal;31;0.638297872
parataxis;parataxis;2;0.021276596
pcomp;complement of preposition;11;0.212765957
pobj;object of preposition;40;0.829787234
poss;possession modifier;19;0.382978723
preconj;pre-correlative conjunction;17;0.340425532
prep;prepositional modifier;18;0.361702128
prt;particle;12;0.234042553
punct;punctuation;5;0.085106383
quantmod;modifier of quantifier;15;0.29787234
relcl;relative clause modifier;20;0.404255319
ROOT;root;1;0
xcomp;open clausal complement;37;0.765957447
